Application ID,No Changes?,Dec Direct (AF),Dec Storage (AF),Comments
A001342,FALSE,0,0,"The Delta Watershed Curtailment Status List (Updated 11/8/2022) shows that the status for this water right is NOT CURTAILED.

Water from this diversion will be retained in storage in December. Water from this diversion is stored in Huntington Lake. SCE's water plan for December predicts that storage in Huntington Lake will increase in the month of December.

For informational purposes SCE is providing the following text regarding water management in the Big Creek Hydroelectric Project. 
SCE holds 22 non-consumptive water rights that support the operation of the Big Creek Hydroelectric Project. In addition to complying with the terms of SCE’s water rights, SCE is contractually required to meet certain cumulative reservoir storage and release requirements pursuant to an agreement with the United States Bureau of Reclamation to support its operations at Friant. Depending on the time of year, SCE’s Water Plan will call for either the net storage or net release of the total, aggregate Project water – to support electricity generation and the water needs of USBR and those supplied by USBR. To provide the Water Board with the clearest picture of water availability and avoid duplicate reporting, SCE is reporting its future demand and projected releases as aggregate numbers for the entire Project utilizing SCE’s Water Plan for the Project. This plan is also used to coordinate with USBR on storage and release requirements and needs. This plan generates monthly forecasts of total reservoir storage and releases to the San Joaquin River by forecasting anticipated inflows to the Project, using reservoir storage on the first of each month, and estimating the planned Project outflows to determine the aggregate change in monthly storage and the volume of water release to the San Joaquin River from the Project. These aggregated values provide a more accurate representation of the total volume of water stored on the Project and water released to the San Joaquin River for other downstream water rights holders. Therefore, SCE is providing this aggregated projected demand water use for the entire Big Creek Project (based on the Water Plan described above). The Water Plan can be provided to Bay-Delta@waterboards.ca.gov site upon request.

In December 2022 reservoir storage in the Big Creek Hydroelectric Project (Project) is anticipated to decrease. Based on SCE’s Water Plan, which is developed and updated monthly by SCE’s water management team, forecasted inflows and outflows at the Big Creek Project will be approximately 20,000 acre-feet and 71,600 acre-feet, respectively. This will result in a forecasted aggregate decrease in reservoir storage of approximately 51,600 acre-feet in December. 
"
A001343,FALSE,0,0,"The Delta Watershed Curtailment Status List (Updated 11/8/2022) shows that the status for this water right is NOT CURTAILED.

Water from this diversion will not be retained in storage in December. Water from this diversion is stored in Florence Lake. SCE's water plan for December predicts that storage in Florence Lake will decrease in the month of December.

For informational purposes SCE is providing the following text regarding water management in the Big Creek Hydroelectric Project. 
SCE holds 22 non-consumptive water rights that support the operation of the Big Creek Hydroelectric Project. In addition to complying with the terms of SCE’s water rights, SCE is contractually required to meet certain cumulative reservoir storage and release requirements pursuant to an agreement with the United States Bureau of Reclamation to support its operations at Friant. Depending on the time of year, SCE’s Water Plan will call for either the net storage or net release of the total, aggregate Project water – to support electricity generation and the water needs of USBR and those supplied by USBR. To provide the Water Board with the clearest picture of water availability and avoid duplicate reporting, SCE is reporting its future demand and projected releases as aggregate numbers for the entire Project utilizing SCE’s Water Plan for the Project. This plan is also used to coordinate with USBR on storage and release requirements and needs. This plan generates monthly forecasts of total reservoir storage and releases to the San Joaquin River by forecasting anticipated inflows to the Project, using reservoir storage on the first of each month, and estimating the planned Project outflows to determine the aggregate change in monthly storage and the volume of water release to the San Joaquin River from the Project. These aggregated values provide a more accurate representation of the total volume of water stored on the Project and water released to the San Joaquin River for other downstream water rights holders. Therefore, SCE is providing this aggregated projected demand water use for the entire Big Creek Project (based on the Water Plan described above). The Water Plan can be provided to Bay-Delta@waterboards.ca.gov site upon request.

In December 2022 reservoir storage in the Big Creek Hydroelectric Project (Project) is anticipated to decrease. Based on SCE’s Water Plan, which is developed and updated monthly by SCE’s water management team, forecasted inflows and outflows at the Big Creek Project will be approximately 20,000 acre-feet and 71,600 acre-feet, respectively. This will result in a forecasted aggregate decrease in reservoir storage of approximately 51,600 acre-feet in December. 
"
A001344,TRUE,0,0,
A001345,FALSE,0,0,"The Delta Watershed Curtailment Status List (Updated 11/8/2022) shows that the status for this water right is NOT CURTAILED.

Water from this diversion will not be retained in storage in December. Water from this diversion is stored in Shaver Lake. SCE's water plan for December predicts that storage in Shaver Lake will decrease in the month of December.

For informational purposes SCE is providing the following text regarding water management in the Big Creek Hydroelectric Project. 

SCE holds 22 non-consumptive water rights that support the operation of the Big Creek Hydroelectric Project. In addition to complying with the terms of SCE’s water rights, SCE is contractually required to meet certain cumulative reservoir storage and release requirements pursuant to an agreement with the United States Bureau of Reclamation to support its operations at Friant. Depending on the time of year, SCE’s Water Plan will call for either the net storage or net release of the total, aggregate Project water – to support electricity generation and the water needs of USBR and those supplied by USBR. To provide the Water Board with the clearest picture of water availability and avoid duplicate reporting, SCE is reporting its future demand and projected releases as aggregate numbers for the entire Project utilizing SCE’s Water Plan for the Project. This plan is also used to coordinate with USBR on storage and release requirements and needs. This plan generates monthly forecasts of total reservoir storage and releases to the San Joaquin River by forecasting anticipated inflows to the Project, using reservoir storage on the first of each month, and estimating the planned Project outflows to determine the aggregate change in monthly storage and the volume of water release to the San Joaquin River from the Project. These aggregated values provide a more accurate representation of the total volume of water stored on the Project and water released to the San Joaquin River for other downstream water rights holders. Therefore, SCE is providing this aggregated projected demand water use for the entire Big Creek Project (based on the Water Plan described above). The Water Plan can be provided to Bay-Delta@waterboards.ca.gov site upon request.

In December 2022 reservoir storage in the Big Creek Hydroelectric Project (Project) is anticipated to decrease. Based on SCE’s Water Plan, which is developed and updated monthly by SCE’s water management team, forecasted inflows and outflows at the Big Creek Project will be approximately 20,000 acre-feet and 71,600 acre-feet, respectively. This will result in a forecasted aggregate decrease in reservoir storage of approximately 51,600 acre-feet in December. 

"
A001346,FALSE,0,0,"The Delta Watershed Curtailment Status List (Updated 11/8/2022) shows that the status for this water right is NOT CURTAILED.

Water from this diversion will not be retained in storage in December. Water from this diversion is stored in Shaver Lake. SCE's water plan for December predicts that storage in Shaver Lake will decrease in the month of December.

For informational purposes SCE is providing the following text regarding water management in the Big Creek Hydroelectric Project. 

SCE holds 22 non-consumptive water rights that support the operation of the Big Creek Hydroelectric Project. In addition to complying with the terms of SCE’s water rights, SCE is contractually required to meet certain cumulative reservoir storage and release requirements pursuant to an agreement with the United States Bureau of Reclamation to support its operations at Friant. Depending on the time of year, SCE’s Water Plan will call for either the net storage or net release of the total, aggregate Project water – to support electricity generation and the water needs of USBR and those supplied by USBR. To provide the Water Board with the clearest picture of water availability and avoid duplicate reporting, SCE is reporting its future demand and projected releases as aggregate numbers for the entire Project utilizing SCE’s Water Plan for the Project. This plan is also used to coordinate with USBR on storage and release requirements and needs. This plan generates monthly forecasts of total reservoir storage and releases to the San Joaquin River by forecasting anticipated inflows to the Project, using reservoir storage on the first of each month, and estimating the planned Project outflows to determine the aggregate change in monthly storage and the volume of water release to the San Joaquin River from the Project. These aggregated values provide a more accurate representation of the total volume of water stored on the Project and water released to the San Joaquin River for other downstream water rights holders. Therefore, SCE is providing this aggregated projected demand water use for the entire Big Creek Project (based on the Water Plan described above). The Water Plan can be provided to Bay-Delta@waterboards.ca.gov site upon request.

In December 2022 reservoir storage in the Big Creek Hydroelectric Project (Project) is anticipated to decrease. Based on SCE’s Water Plan, which is developed and updated monthly by SCE’s water management team, forecasted inflows and outflows at the Big Creek Project will be approximately 20,000 acre-feet and 71,600 acre-feet, respectively. This will result in a forecasted aggregate decrease in reservoir storage of approximately 51,600 acre-feet in December. 
"
A001440,TRUE,0,0,
A001441,TRUE,0,0,
A001463,TRUE,0,55,
A001465,TRUE,0,0,
A001532,FALSE,0,0,
A001588,TRUE,0,0,
A001589,TRUE,0,0,
A001614,TRUE,0,1281,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A001615,TRUE,0,0,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A001651,TRUE,0,0,
A001659,TRUE,0,0,
A001692,TRUE,0,0,
A001699,TRUE,0,0,
A001725,TRUE,0,0,
A001739,FALSE,0,150,
A001743,TRUE,1752,0,
A001891,TRUE,0,0,
A001892,FALSE,0,0,"Water is directly diverted for hydroelectric power generation at Pit 4 Powerhouse under appropriative water right A001892, appropriative water right A014928, and riparian water claim S010391.  The first 3,000 cfs of diversions are reported under A001892."
A001987,FALSE,0,0,
A002100,FALSE,0,0,"Depending on hydrologic conditions water may be directly diverted from the North Fork Mokelumne River under appropriative water right A002100 for hydroelectric power generation at the Salt Springs 1, Tiger Creek, West Point, and Electra Powerhouses and to satisfy Lodi Decree flow requirements."
A002142,FALSE,0,0,
A002186,FALSE,0,4000,"Depending on hydrologic conditions and curtailment status additional water may be diverted to storage in Bucks Lake from Bucks Creek for consumptive uses by the Western Canal Water District under appropriative water right A002186 and for hydroelectric power generation at the Grizzly and Bucks Creek Powerhouses under appropriative water rights A002195, A003839, and A004441."
A002195,TRUE,0,0,
A002197,FALSE,0,0,
A002212,TRUE,0,2880,
A002227,TRUE,0,0,
A002270,TRUE,0,0,
A002275,TRUE,0,0,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A002276,TRUE,0,0,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A002372,TRUE,0,0,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A002522,TRUE,0,0,
A002524,TRUE,0,0,"Oakdale and South San Joaquin Irrigation District project that diversions under this right will be zero for the upcoming month. Although this number is consistent with the State Water Resources Control Board’s projection of zero, the methods and assumptions used by Oakdale and South San Joaquin Irrigation District to arrive at this projection differ from the methods and assumptions that appear to have been used by the Board."
A002534,TRUE,0,0,
A002548,TRUE,0,0,
A002652A,FALSE,0,800,"The numbers reported are average demands based on 2018, 2019, and 2020 reporting.

The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A002652B,TRUE,0,0,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A002750,TRUE,0,0,
A002751,TRUE,0,0,
A002753,TRUE,0,0,
A002754,TRUE,0,0,
A002755,TRUE,0,39,
A002778,TRUE,0,0,
A002816,TRUE,0,0,
A002881,TRUE,0,0,
A002948,TRUE,0,0,
A002950,FALSE,0.1,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts directly diverted and/or projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 
"
A002951,TRUE,0,0,
A002952,TRUE,0,0,
A002953,FALSE,0.1,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts directly diverted and/or projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 
"
A002954,TRUE,0,0,
A002957,FALSE,0,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts directly diverted and/or projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 
"
A002958,FALSE,0,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts directly diverted and/or projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 
"
A002979,TRUE,0,0,
A002996,TRUE,0,0,
A003026,TRUE,0,0,
A003040,FALSE,0,0,
A003091,FALSE,0,10754,"Consistent with prior monthly projections and past direction from the State Water Resources Control Board, the projections provided above assume unlimited hydrology."
A003139,FALSE,0,0,
A003206,TRUE,0,0,
A003550,FALSE,0,0,Depending on hydrologic conditions and curtailment status water may be diverted to storage in Lake Fordyce from Fordyce Creek under pre-1914 water claim S009033 and appropriative water rights A002750 and A003550 for consumptive uses by Nevada Irrigation District and Placer County Water Agency and for hydroelectric power generation at various NID and PG&E powerhouses.
A003613,FALSE,0,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts directly diverted and/or projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 
"
A003648,FALSE,0,0,
A003768,TRUE,0,0,
A003769,TRUE,0,0,
A003889,TRUE,0,0,
A004000,TRUE,0,0,
A004123,TRUE,230,0,
A004124,TRUE,141,0,
A004228,FALSE,8196,0,"(1) Reported figures are based on: projected diversion and storage of flow into Pardee based on projected median hydrology (50% exceedance forecast), estimated demand, and operational assumptions. Actual diversion and storage may vary from reported projection if actual conditions differ substantially from median hydrology, the demand estimate, and operational assumptions. (2) Demand projection assumes 10% mandatory conservation by EBMUD’s customers. (3) December 2022 projected diversion demand is also below seasonal norm because planned aqueduct outage for maintenance work is expected to reduce conveyance capacity."
A004237,FALSE,0,0,
A004275,FALSE,0,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts directly diverted and/or projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 

"
A004276,FALSE,0,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts directly diverted and/or projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 

"
A004309,TRUE,0,0,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A004310,TRUE,0,0,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A004432,FALSE,0,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts directly diverted and/or projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 

"
A004441,TRUE,0,0,
A004452,FALSE,0,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts directly diverted and/or projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 
"
A004491,TRUE,0,0,
A004513,FALSE,0,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts directly diverted and/or projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 

"
A004598,TRUE,0,0,
